url: https://www.spotrac.com/nba/injured/_/year/2025/view/player
rank,player,pos,team,injury_details,games_missed,days_missed,cash_total
11,Luka Doncic,PG,DAL,"Short-Term IR: Knee: 11/17/24-11/17/24, 11/22/24-11/22/24 | Short-Term IR: Wrist: 11/24/24-11/30/24 | Short-Term IR: Heel: 12/19/24-12/22/24 | Short-Term IR: Calf: 12/27/24-1/31/25, 2/4-2/8/25, 3/14-3/14/25 | Short-Term IR: Injury Management: 2/20-2/20/25 | Short-Term IR: Ankle: 3/20-3/20/25 | Short-Term IR: Quad: 4/13-4/13/25",34,58,14343980
12,Malcolm Brogdon,PG,WAS,"Short-Term IR: Thumb: 10/24/24-11/15/24 | Short-Term IR: Hamstring: 12/7/24-12/18/24 | Short-Term IR: Foot: 1/7-1/30/25, 2/7-2/7/25 | Short-Term IR: Ankle: 2/21-2/26/25, 3/1-4/13/25",58,109,14094790
13,Kyrie Irving,PG,DAL,"Short-Term IR: Shoulder: 11/14/24-11/14/24, 12/1/24-12/1/24, 12/19/24-12/19/24, 12/30/24-12/30/24, 2/2-2/2/25, 2/13-2/13/25 | Short-Term IR: Back: 1/3-1/13/25, 1/15-1/15/25 | Short-Term IR: Illness: 1/3-1/3/25 | IR: Knee Acl: 3/4-4/13/25",33,59,13563215
14,Lauri Markkanen,PF,UTA,"Short-Term IR: Back: 10/31/24-11/6/24, 12/6/24-12/7/24, 1/12-1/17/25, 2/8-2/8/25, 2/24-2/24/25, 2/26-3/10/25 | Short-Term IR: Personal: 11/27/24-11/27/24, 3/19-3/28/25 | Short-Term IR: Injury Management: 1/28-1/28/25, 2/5-2/5/25 | Short-Term IR: Knee: 4/2-4/13/25",31,54,13089222
15,Khris Middleton,SF,MIL,"Short-Term IR: Ankle: 10/23/24-12/4/24, 1/23-1/23/25, 2/23-2/23/25, 3/10-3/10/25, 3/26-3/26/25 | Short-Term IR: Injury Management: 1/6-1/6/25, 1/14-1/14/25, 2/3-2/3/25, 3/19-3/19/25, 3/22-3/22/25 | Short-Term IR: Rest: 2/7-2/7/25, 2/8-2/8/25 | Short-Term IR: Personal: 2/10-2/12/25 | Short-Term IR: Knee: 3/29-4/13/25",43,73,13005753
16,Anthony Davis,C,LAL,"Short-Term IR: Foot: 11/6/24-11/6/24, 1/17-1/17/25 | Short-Term IR: Ankle: 1/2-1/2/25 | Short-Term IR: Abdominal: 1/30-2/1/25, 2/4-2/6/25 | Short-Term IR: Adductor: 2/10-3/21/25, 3/25-3/25/25, 4/4-4/4/25, 4/13-4/13/25",28,51,12667788
17,Bojan Bogdanovic,SF,BKN,IR: Foot: 10/23/24-2/12/25,54,113,12360392
18,LaMelo Ball,PG,CHA,"Short-Term IR: Calf: 11/29/24-12/15/24 | Short-Term IR: Injury Management: 12/20/24-12/20/24, 2/20-2/20/25, 2/25-2/25/25, 3/8-3/8/25 | Short-Term IR: Ankle: 12/28/24-1/3/25, 1/29-2/5/25, 2/9-2/12/25, 2/27-2/27/25, 3/21-3/21/25, 3/28-4/13/25 | Short-Term IR: Wrist: 1/24-1/24/25, 3/18-3/18/25",35,61,12321634
19,John Collins,PF,UTA,"Short-Term IR: Knee: 11/27/24-11/28/24 | Short-Term IR: Hip: 12/23/24-1/6/25, 1/7-1/17/25 | Short-Term IR: Illness: 1/25-1/28/25 | Short-Term IR: Rest: 2/8-2/8/25 | Short-Term IR: Back: 2/22-2/26/25, 3/2-3/9/25 | Short-Term IR: Ankle: 3/14-4/13/25",41,77,11762443
20,De'Anthony Melton,SG,GSW,"Short-Term IR: Back: 10/29/24-11/7/24 | IR: Knee Acl: 11/15/24-12/15/24, 12/16/24-4/13/25",72,159,11716710
21,Ja Morant,PG,MEM,"Short-Term IR: Thigh: 10/28/24-10/29/24 | Short-Term IR: Hip: 11/8/24-11/24/24 | Short-Term IR: Knee: 11/27/24-11/27/24, 2/12-2/12/25 | Short-Term IR: Back: 12/8/24-12/8/24, 12/21/24-12/21/24 | Short-Term IR: Shoulder: 12/29/24-1/6/25, 1/30-2/2/25, 3/1-3/3/25, 3/15-3/19/25, 4/13-4/13/25 | Short-Term IR: Foot: 1/17-1/17/25 | Short-Term IR: Illness: 1/24-1/24/25, 4/4-4/4/25 | Short-Term IR: Hamstring: 3/21-3/27/25",32,55,11608685
22,Damian Lillard,PG,MIL,"Short-Term IR: Concussion: 11/12/24-11/17/24 | Short-Term IR: Calf: 12/20/24-12/25/24 | Short-Term IR: Illness: 12/26/24-12/26/24 | Short-Term IR: Groin: 2/3-2/3/25, 3/20-4/13/25 | Short-Term IR: Hamstring: 2/12-2/12/25, 2/21-2/21/25",24,41,11495949
23,Jerami Grant,PF,POR,"Short-Term IR: Knee: 11/27/24-11/30/24, 2/10-2/12/25, 2/28-3/5/25, 3/10-4/13/25 | Short-Term IR: Face: 12/30/24-1/16/25 | Short-Term IR: Ankle: 1/30-1/30/25",35,67,11472075
24,Tyrese Maxey,PG,PHI,Short-Term IR: Hamstring: 11/8/24-11/19/24 | Short-Term IR: Hand: 1/14-1/14/25 | Short-Term IR: Knee: 2/12-2/12/25 | Short-Term IR: Back: 3/4-4/13/25,30,54,10907676
25,Andrew Wiggins,SF,GSW,"Short-Term IR: Back: 10/29/24-12/14/24 | Short-Term IR: Personal: 1/9-1/10/25 | Short-Term IR: Illness: 2/13-2/13/25 | Short-Term IR: Ankle: 2/28-3/7/25 | Short-Term IR: Leg: 3/17-3/19/25 | Short-Term IR: Hamstring: 3/29-4/7/25, 4/13-4/13/25",20,72,10873152
26,Mitchell Robinson,C,NYK,"Short-Term IR: Ankle: 10/22/24-2/26/25, 4/4-4/4/25, 4/10-4/10/25",60,130,10697440
27,Grant Williams,PF,CHA,IR: Knee Acl: 11/24/24-4/13/25,68,140,10480120
28,Kristaps Porzingis,PF,BOS,"Long-Term IR: Foot: 10/22/24-11/24/24 | Short-Term IR: Leg: 12/2/24-12/3/24, 12/6/24-12/6/24 | Short-Term IR: Ankle: 12/27/24-1/2/25 | Short-Term IR: Injury Management: 1/18-1/18/25 | Short-Term IR: Illness: 1/22-1/22/25, 2/8-2/8/25, 2/28-2/28/25, 3/2-3/14/25, 4/6-4/6/25 | Short-Term IR: Rest: 4/13-4/13/25",36,62,10428958
29,Lonzo Ball,PG,CHI,"Short-Term IR: Injury Management: 10/24/24-10/26/24, 12/5/24-12/5/24, 2/5-2/5/25 | Short-Term IR: Wrist: 10/30/24-11/26/24, 3/2-4/13/25 | Short-Term IR: Illness: 12/23/24-12/23/24, 2/8-2/12/25 | Short-Term IR: Knee: 1/15-1/15/25 | Short-Term IR: Quad: 1/19-1/19/25",47,83,10205846
30,Kevin Durant,SF,PHX,"Short-Term IR: Calf: 11/10/24-11/24/24 | Short-Term IR: Ankle: 12/5/24-12/8/24, 2/5-2/7/25, 4/1-4/13/25",19,35,10028515
31,Bruce Brown Jr.,SG,TOR,"Short-Term IR: Knee: 10/23/24-12/28/24, 1/9-1/9/25, 4/10-4/13/25 | Short-Term IR: Injury Management: 1/1-1/1/25 | Short-Term IR: Personal: 2/10-2/10/25",37,74,9781616
32,Herb Jones,SF,NOP,Short-Term IR: Shoulder: 10/30/24-12/4/24 | IR: Shoulder: 1/10-4/13/25,62,129,9620433
33,Fred VanVleet,PG,HOU,"Short-Term IR: Hamstring: 11/11/24-11/12/24 | Short-Term IR: Knee: 12/8/24-12/8/24 | Short-Term IR: Personal: 1/16-1/16/25 | Short-Term IR: Ankle: 2/3-2/26/25, 3/3-3/10/25, 4/2-4/2/25, 4/9-4/11/25",22,39,9603555
34,Kyle Kuzma,PF,WAS,Short-Term IR: Groin: 10/30/24-12/10/24 | Short-Term IR: Ribs: 11/30/24-12/28/24,17,71,9598348
35,C.J. McCollum,SG,NOP,"Short-Term IR: Adductor: 10/30/24-11/24/24 | Short-Term IR: Personal: 2/10-2/10/25 | Short-Term IR: Rest: 2/28-2/28/25, 3/9-3/9/25, 3/24-3/24/25, 3/28-3/28/25 | Short-Term IR: Foot: 3/30-4/13/25",27,46,8812266
36,Matisse Thybulle,SG,POR,Short-Term IR: Knee: 10/23/24-1/8/25 | Short-Term IR: Ankle: 1/9-3/10/25,66,138,8743956
37,Marcus Smart,PG,MEM,"Short-Term IR: Ankle: 10/31/24-11/12/24 | Short-Term IR: Illness: 11/17/24-11/23/24, 3/15-3/17/25, 3/27-3/27/25 | Short-Term IR: Shoulder: 12/19/24-2/3/25 | Short-Term IR: Finger: 2/23-2/23/25, 3/10-3/10/25, 3/21-3/21/25, 3/26-3/26/25 | Short-Term IR: Injury Management: 4/2-4/2/25",39,76,8718264
38,Jaylen Brown,SF,BOS,"Short-Term IR: Hip: 11/2/24-11/9/24 | Short-Term IR: Illness: 12/1/24-12/1/24 | Short-Term IR: Shoulder: 1/2-1/3/25 | Short-Term IR: Knee: 2/10-2/12/25, 3/6-3/6/25, 3/14-3/18/25, 3/21-3/23/25, 3/31-3/31/25, 4/9-4/13/25 | Short-Term IR: Ankle: 2/26-2/26/25",19,30,8483760
39,P.J. Tucker,PF,LAC,"Short-Term IR: Personal: 10/23/24-1/31/25, 2/3-2/5/25, 2/7-2/26/25",59,124,8223184
40,Aaron Gordon,PF,DEN,"Short-Term IR: Calf: 11/6/24-11/30/24, 12/7/24-12/7/24, 12/27/24-1/10/25, 2/3-2/3/25, 3/10-3/10/25, 3/24-3/24/25 | Short-Term IR: Injury Management: 1/15-1/15/25, 2/12-2/12/25 | Short-Term IR: Ankle: 2/28-3/5/25, 3/12-3/15/25 | Short-Term IR: Illness: 4/2-4/2/25",32,57,7482561
41,De'Aaron Fox,PG,SAC,Short-Term IR: Glute: 1/6-1/10/25 | IR: Finger: 3/13-4/13/25,21,37,7410286
42,Brandon Miller,SF,CHA,"Short-Term IR: Hip: 10/23/24-11/1/24 | Short-Term IR: Ankle: 12/19/24-12/25/24, 12/28/24-1/4/25 | IR: Wrist: 1/17-4/13/25",58,111,7288149
43,Isaiah Hartenstein,C,OKC,Short-Term IR: Hand: 10/24/24-11/19/24 | Short-Term IR: Calf: 1/16-1/23/25 | Short-Term IR: Nose: 3/7-3/7/25 | Short-Term IR: Back: 3/19-3/19/25 | Short-Term IR: Achilles: 4/9-4/13/25,25,42,7241388
44,Robert Williams III,C,POR,"Short-Term IR: Hamstring: 10/23/24-11/7/24 | Short-Term IR: Injury Management: 11/13/24-11/13/24 | Short-Term IR: Rest: 11/23/24-11/23/24, 1/9-1/9/25 | Short-Term IR: Concussion: 11/27/24-12/14/24 | Short-Term IR: Ankle: 12/23/24-12/26/24, 1/19-1/19/25 | Short-Term IR: Illness: 1/11-1/14/25 | Short-Term IR: Hand: 1/24-1/24/25, 2/1-2/1/25 | Short-Term IR: Knee: 2/10-2/12/25, 2/22-4/13/25",53,101,7214329
45,Moritz Wagner,C,ORL,IR: Knee Acl: 12/22/24-4/13/25,52,112,7080416
46,Jordan Clarkson,SG,UTA,"Short-Term IR: Heel: 11/2/24-11/6/24, 11/21/24-11/22/24, 3/3-3/10/25 | Short-Term IR: Foot: 11/26/24-12/12/24, 12/26/24-12/26/24, 2/7-2/7/25, 2/13-2/13/25, 2/22-2/24/25, 3/21-3/21/25, 3/25-4/13/25 | Short-Term IR: Knee: 1/5-1/25/25 | Short-Term IR: Injury Management: 1/28-1/28/25, 2/28-3/2/25 | Short-Term IR: Illness: 3/16-3/16/25",44,84,6803328
47,Saddiq Bey,SF,WAS,Short-Term IR: Knee: 10/24/24-4/13/25,81,172,6366580
48,Chet Holmgren,C,OKC,"Short-Term IR: Hip: 11/11/24-2/5/25, 3/23-3/23/25, 3/29-3/29/25 | Short-Term IR: Rest: 2/8-2/8/25, 2/12-2/12/25, 2/24-2/24/25, 3/15-3/15/25 | Short-Term IR: Ankle: 3/2-3/2/25 | Short-Term IR: Leg: 3/5-3/7/25 | Short-Term IR: Back: 4/11-4/13/25",50,100,6253200
49,Jamal Murray,PG,DEN,"Short-Term IR: Head: 11/2/24-11/7/24 | Short-Term IR: Hamstring: 12/7/24-12/12/24, 3/28-4/9/25 | Short-Term IR: Ankle: 12/23/24-12/23/24, 3/17-3/19/25 | Short-Term IR: Knee: 2/6-2/6/25",15,30,6209700
50,Stephen Curry,PG,GSW,"Short-Term IR: Ankle: 10/29/24-11/3/24 | Short-Term IR: Knee: 11/27/24-11/29/24, 1/4-1/4/25, 1/28-1/28/25 | Short-Term IR: Injury Management: 12/5/24-12/5/24, 12/27/24-12/27/24, 1/10-1/10/25 | Short-Term IR: Back: 3/18-3/18/25 | Short-Term IR: Pelvis: 3/22-3/25/25",11,19,6088873
51,Jarred Vanderbilt,PF,LAL,"Short-Term IR: Foot: 10/22/24-1/23/25, 1/28-1/28/25 | Short-Term IR: Injury Management: 2/20-2/20/25 | Short-Term IR: Groin: 3/20-3/20/25",47,97,5972872
52,Cameron Johnson,SF,BKN,"Short-Term IR: Ankle: 12/2/24-12/2/24, 1/4-1/12/25, 1/15-1/17/25, 1/22-2/4/25, 3/8-3/8/25 | Short-Term IR: Rest: 3/20-3/20/25, 3/26-4/3/25 | Short-Term IR: Back: 4/6-4/13/25",24,46,5948260
53,Rudy Gobert,C,MIN,Short-Term IR: Back: 2/13-3/7/25,9,23,5793309
54,Miles Bridges,SF,CHA,"Short-Term IR: Knee: 11/8/24-11/15/24, 11/21/24-12/12/24 | Short-Term IR: Back: 1/24-1/24/25 | Short-Term IR: Rest: 3/18-3/18/25 | Short-Term IR: Hip: 4/9-4/13/25",18,37,5778364
55,Larry Nance Jr.,PF,ATL,"Short-Term IR: Hand: 12/29/24-1/23/25, 1/27-1/28/25 | IR: Knee: 2/12-4/13/25",43,88,5666936
56,Taylor Hendricks,PF,UTA,IR: Leg: 10/29/24-4/13/25,79,167,5613371
57,Maxi Kleber,PF,DAL,"Short-Term IR: Hamstring: 10/28/24-11/9/24 | Short-Term IR: Illness: 12/7/24-12/7/24, 12/10/24-12/10/24 | Short-Term IR: Foot: 1/27-1/31/25, 2/4-4/13/25",48,88,5563184
58,Ben Simmons,PG,BKN,"Short-Term IR: Injury Management: 10/29/24-10/29/24, 11/25/24-11/25/24, 12/27/24-12/27/24, 1/2-1/2/25, 1/15-1/15/25, 4/9-4/9/25 | Short-Term IR: Back: 11/4/24-11/6/24, 12/2/24-12/3/24, 1/25-1/27/25, 2/4-2/4/25 | Short-Term IR: Calf: 11/13/24-11/13/24, 1/4-1/8/25 | Short-Term IR: Illness: 1/21-1/22/25 | Short-Term IR: Personal: 2/7-2/7/25 | Short-Term IR: Knee: 2/24-2/24/25, 3/2-3/12/25, 3/31-3/31/25, 4/4-4/4/25",28,37,5419110
59,Devin Vassell,SG,SAS,"Short-Term IR: Foot: 10/24/24-11/8/24, 11/16/24-11/26/24 | Short-Term IR: Injury Management: 12/6/24-12/6/24 | Short-Term IR: Ankle: 4/2-4/2/25, 4/11-4/13/25",17,32,5397312
60,Clint Capela,C,ATL,"Short-Term IR: Knee: 1/23-1/23/25 | Short-Term IR: Back: 1/30-2/5/25, 2/8-2/8/25 | Short-Term IR: Personal: 2/7-2/7/25, 3/12-3/18/25 | Short-Term IR: Undisclosed: 2/10-2/10/25, 2/12-2/12/25 | Short-Term IR: Hand: 3/22-4/13/25",26,42,5374362
61,Max Strus,SG,CLE,"Short-Term IR: Ankle: 10/23/24-12/15/24, 2/10-2/10/25 | Short-Term IR: Injury Management: 12/21/24-12/21/24, 3/28-3/28/25 | Short-Term IR: Knee: 4/10-4/10/25, 4/13-4/13/25",32,59,5158134
62,Paolo Banchero,PF,ORL,Short-Term IR: Oblique: 11/1/24-1/9/25 | Short-Term IR: Ankle: 4/11-4/13/25,35,73,5101970
63,Jrue Holiday,PG,BOS,"Short-Term IR: Knee: 11/16/24-11/16/24, 12/2/24-12/4/24 | Short-Term IR: Shoulder: 12/25/24-12/29/24, 1/22-1/22/25, 2/6-2/12/25, 3/23-3/23/25, 4/2-4/2/25, 4/9-4/9/25, 4/13-4/13/25 | Short-Term IR: Rest: 2/25-2/25/25 | Short-Term IR: Finger: 2/28-3/6/25",20,29,5000006
64,Jalen Suggs,SG,ORL,"Short-Term IR: Hamstring: 11/25/24-11/25/24 | Short-Term IR: Ankle: 12/21/24-12/21/24 | Short-Term IR: Back: 1/5-1/23/25 | Short-Term IR: Quad: 1/27-1/30/25, 2/1-2/27/25 | Short-Term IR: Knee: 3/2-4/13/25",49,94,4963858
65,Nikola Topic,PG,OKC,Short-Term IR: Knee: 10/24/24-4/13/25,82,172,4879296
66,Jaden Ivey,SG,DET,Short-Term IR: Toe: 11/13/24-11/14/24 | Short-Term IR: Knee: 12/16/24-12/19/24 | IR: Leg: 1/3-4/13/25,52,106,4859676
67,Bogdan Bogdanovic,SG,ATL,"Short-Term IR: Hamstring: 10/24/24-11/17/24, 11/30/24-12/1/24 | Short-Term IR: Quad: 12/8/24-12/8/24 | Short-Term IR: Leg: 12/23/24-1/1/25 | Short-Term IR: Injury Management: 1/4-1/4/25 | Short-Term IR: Personal: 1/28-2/5/25",26,48,4761360
68,Aaron Nesmith,SF,IND,Short-Term IR: Ankle: 11/4/24-1/14/25 | Short-Term IR: Injury Management: 3/17-3/17/25 | Short-Term IR: Rest: 4/11-4/11/25,37,74,4678132
69,Victor Wembanyama,C,SAS,Short-Term IR: Knee: 11/16/24-11/22/24 | Short-Term IR: Back: 12/5/24-12/7/24 | Short-Term IR: Illness: 2/1-2/1/25 | IR: Shoulder: 2/20-4/13/25,36,63,4623255
70,R.J. Barrett,SG,TOR,"Short-Term IR: Shoulder: 10/23/24-10/27/24 | Short-Term IR: Illness: 12/19/24-12/19/24, 12/22/24-12/22/24, 12/31/24-12/31/24, 1/1-1/1/25, 1/3-1/3/25, 3/16-3/20/25 | Short-Term IR: Concussion: 2/4-2/11/25 | Short-Term IR: Rest: 3/7-3/7/25, 3/24-3/24/25, 3/28-3/28/25, 4/1-4/1/25, 4/4-4/4/25, 4/11-4/11/25, 4/13-4/13/25 | Short-Term IR: Personal: 3/12-3/12/25",24,31,4595595
71,Domantas Sabonis,PF,SAC,Short-Term IR: Back: 11/16/24-11/20/24 | Short-Term IR: Illness: 12/26/24-12/26/24 | Short-Term IR: Hamstring: 3/3-3/13/25 | Short-Term IR: Ankle: 3/19-3/22/25,12,20,4505740
72,Julius Randle,PF,MIN,Short-Term IR: Adductor: 2/1-2/28/25,13,28,4435200
73,Nikola Jokic,C,DEN,"Short-Term IR: Personal: 11/15/24-11/15/24, 11/17/24-11/17/24, 11/19/24-11/19/24 | Short-Term IR: Illness: 1/7-1/8/25 | Short-Term IR: Elbow: 1/15-1/15/25, 3/17-3/19/25 | Short-Term IR: Ankle: 3/20-3/24/25, 4/2-4/2/25",12,15,4432410
74,Cade Cunningham,PG,DET,Short-Term IR: Hip: 11/23/24-12/28/24 | Short-Term IR: Back: 11/30/24-11/28/24 | Short-Term IR: Ankle: 2/7-2/7/25 | Short-Term IR: Calf: 3/23-4/4/25 | Short-Term IR: Knee: 4/13-4/13/25,12,54,4326480
75,Desmond Bane,SG,MEM,"Short-Term IR: Oblique: 10/31/24-11/14/24 | Short-Term IR: Toe: 12/8/24-12/8/24 | Short-Term IR: Ankle: 1/6-1/6/25, 2/3-2/5/25 | Short-Term IR: Hip: 3/1-3/1/25 | Short-Term IR: Adductor: 4/13-4/13/25",13,22,4299504
76,Kelly Olynyk,PF,TOR,"Short-Term IR: Back: 10/23/24-12/6/24 | Short-Term IR: Calf: 1/25-1/29/25 | Short-Term IR: Rest: 2/27-2/27/25, 3/11-3/11/25, 4/6-4/6/25 | Short-Term IR: Personal: 3/13-3/13/25 | Short-Term IR: Achilles: 4/10-4/13/25",33,58,4268278
77,Jalen Brunson,PG,NYK,"Short-Term IR: Ankle: 3/7-4/4/25, 4/13-4/13/25",16,29,4159992
78,Tre Mann,PG,CHA,"Short-Term IR: Back: 11/12/24-11/15/24, 11/23/24-4/13/25 | Short-Term IR: Injury Management: 11/17/24-11/17/24",70,146,4118514
79,Isaiah Jackson,PF,IND,IR: Achilles: 11/4/24-4/13/25,76,160,4078560
80,Jakob Poeltl,C,TOR,"Short-Term IR: Illness: 12/5/24-12/5/24 | Short-Term IR: Groin: 12/19/24-12/26/24 | Short-Term IR: Hip: 2/5-2/12/25, 2/21-2/25/25 | Short-Term IR: Rest: 3/7-3/7/25, 3/10-3/10/25, 3/14-3/14/25, 3/17-3/17/25, 3/23-3/23/25, 3/26-3/26/25, 3/30-3/30/25, 4/3-4/3/25, 4/6-4/6/25 | Short-Term IR: Hand: 4/9-4/13/25",25,36,4034484
81,Patrick Williams,PF,CHI,Short-Term IR: Foot: 11/20/24-12/11/24 | Short-Term IR: Quad: 2/20-3/8/25,19,39,4034472
82,Norman Powell,SG,LAC,"Short-Term IR: Hamstring: 11/20/24-11/30/24, 12/4/24-12/6/24, 3/4-3/14/25 | Short-Term IR: Back: 1/22-1/22/25 | Short-Term IR: Hip: 2/2-2/2/25 | Short-Term IR: Knee: 2/20-2/28/25 | Short-Term IR: Shoulder: 4/9-4/9/25",22,36,3980988
83,LeBron James,PF,LAL,"Short-Term IR: Foot: 12/13/24-12/14/24 | Short-Term IR: Ankle: 2/8-2/8/25 | Short-Term IR: Groin: 3/10-3/19/25, 4/13-4/13/25",9,14,3920714
84,Daniel Gafford,C,DAL,"Short-Term IR: Illness: 11/27/24-11/28/24 | Short-Term IR: Ankle: 1/7-1/7/25, 2/2-2/2/25 | Short-Term IR: Knee: 2/12-3/29/25, 4/5-4/5/25",25,50,3848900
85,Marvin Bagley III,PF,WAS,"Short-Term IR: Illness: 11/4/24-11/4/24 | Short-Term IR: Knee: 12/26/24-2/5/25, 2/8-2/12/25 | Short-Term IR: Concussion: 3/25-3/27/25",28,51,3663789
86,Jimmy Butler,SF,MIA,Short-Term IR: Ankle: 11/10/24-11/17/24 | Short-Term IR: Knee: 12/2/24-12/2/24 | Short-Term IR: Illness: 12/21/24-12/23/24 | Short-Term IR: Back: 3/1-3/1/25,8,13,3645876
87,OG Anunoby,SF,NYK,"Short-Term IR: Foot: 2/3-2/4/25, 2/8-2/20/25 | Short-Term IR: Thumb: 4/10-4/10/25, 4/13-4/13/25",9,17,3579571
88,Jordan Poole,SG,WAS,"Short-Term IR: Hip: 11/24/24-11/26/24, 12/28/24-12/30/24, 1/5-1/8/25 | Short-Term IR: Elbow: 3/1-3/5/25, 4/3-4/3/25, 4/9-4/13/25",14,21,3578673
89,Anfernee Simons,SG,POR,Short-Term IR: Chest: 11/13/24-11/21/24 | Short-Term IR: Elbow: 1/19-1/19/25 | Short-Term IR: Illness: 3/21-3/21/25 | Short-Term IR: Forearm: 4/1-4/13/25,12,24,3571440
90,D'Angelo Russell,PG,LAL,"Short-Term IR: Illness: 12/1/24-12/1/24 | Short-Term IR: Thumb: 12/25/24-12/25/24 | Short-Term IR: Shin: 1/6-1/12/25, 1/15-1/15/25 | Short-Term IR: Hamstring: 1/22-1/22/25 | Short-Term IR: Ankle: 2/22-3/1/25, 3/22-3/24/25, 4/6-4/13/25 | Short-Term IR: Injury Management: 3/11-3/11/25, 3/16-3/16/25, 3/29-3/29/25",23,33,3545091
91,Kobe Bufkin,PG,ATL,"Short-Term IR: Shoulder: 10/23/24-11/17/24, 12/19/24-4/13/25",69,141,3483687
92,Draymond Green,PF,GSW,"Short-Term IR: Calf: 12/3/24-12/5/24 | Short-Term IR: Ankle: 12/21/24-12/21/24 | Short-Term IR: Back: 12/27/24-12/27/24, 1/13-1/31/25 | Short-Term IR: Undisclosed: 1/10-1/10/25",15,25,3463675
93,Zach LaVine,SG,CHI,"Short-Term IR: Adductor: 11/4/24-11/8/24 | Short-Term IR: Back: 12/16/24-12/17/24 | Short-Term IR: Toe: 12/30/24-12/30/24 | Short-Term IR: Personal: 1/29-2/2/25, 3/19-3/19/25",9,14,3462340
